Time,A,B,C,Temperature,C0,Catalyst,pH,Pressure,RPM
100.0,0.3769648688547769,0.10914891186555037,0.013886219279672573,290.0,0.5,0.5,7.0,10,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,1,100
100.0,0.4493504942902368,0.04848501095885549,0.0021644947509076597,290.0,0.5,0.5,8.0,1,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,1,300
100.0,0.4058441509832466,0.08629956011105613,0.007856288905696894,290.0,0.5,0.5,8.0,1,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,1,500
100.0,0.39113788633329927,0.09817585964755526,0.01068625401914542,290.0,0.5,0.5,8.0,1,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,5,100
100.0,0.4484023148712515,0.049349065801303105,0.0022486193274454534,290.0,0.5,0.5,8.0,5,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,5,300
100.0,0.4041915080531484,0.08765825774042064,0.00815023420643113,290.0,0.5,0.5,8.0,5,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,5,500
100.0,0.3892718429807864,0.0996476588983616,0.011080498120852073,290.0,0.5,0.5,8.0,5,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,10,100
100.0,0.4472204890041365,0.0504236630380756,0.002355847957787844,290.0,0.5,0.5,8.0,10,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,10,300
100.0,0.4021372047617325,0.0893387901849362,0.008524005053331228,290.0,0.5,0.5,8.0,10,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,8.0,10,500
100.0,0.386954534850384,0.10146410094628432,0.011581364203331657,290.0,0.5,0.5,8.0,10,500
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,1,100
100.0,0.4263555881083761,0.06895011425210647,0.004694297639517589,290.0,0.5,0.75,6.0,1,100
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,1,300
100.0,0.3668811468699078,0.11665923511372452,0.01645961801636787,290.0,0.5,0.75,6.0,1,300
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,1,500
100.0,0.34758363448598795,0.13030377115304356,0.022112594360968314,290.0,0.5,0.75,6.0,1,500
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,5,100
100.0,0.42502177949505204,0.07010499502163364,0.004873225483314042,290.0,0.5,0.75,6.0,5,100
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,5,300
100.0,0.364692068571888,0.11825593173989025,0.017051999688222068,290.0,0.5,0.75,6.0,5,300
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,5,500
100.0,0.3451644640261977,0.13194386521861406,0.022891670755188054,290.0,0.5,0.75,6.0,5,500
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,10,100
100.0,0.4233616286462015,0.07153736047878644,0.005101010875012519,290.0,0.5,0.75,6.0,10,100
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,10,300
100.0,0.3619781707829966,0.1202183944418375,0.01780343477516591,290.0,0.5,0.75,6.0,10,300
0.0,0.5,0.0,0.0,290.0,0.5,0.75,6.0,10,500
100.0,0.3421695278203884,0.13395182943584583,0.02387864274376602,290.0,0.5,0.75,6.0,10,500
0.0,0.5,0.0,0.0,290.0,0.5,0.75,7.0,1,100
100.0,0.419398064138159,0.07493412879829096,0.005667807063549914,290.0,0.5,0.75,7.0,1,100
0.0,0.5,0.0,0.0,290.0,0.5,0.75,7.0,1,300
100.0,0.3555470578824266,0.12479239997687878,0.019660542140694806,290.0,0.5,0.75,7.0,1,300
0.0,0.5,0.0,0.0,290.0,0.5,0.75,7.0,1,500
